Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00857877, 0.00272422, 0.00585377, 0.00296796, 7639, 70572, 340341
0.00843884, 0.00262009, 0.00581791, 0.0030669, 7661, 69272, 364203
0.00848537, 0.0027217, 0.00576302, 0.00288111, 7814, 70507, 311928
0.0886087, 0.00388962, 0.0183201, 0.0582507, 7744, 74161, 5.53586e+06
0.0134792, 0.00342035, 0.0100578, 0.0060394, 7633, 72436, 747840
0.0122785, 0.0040234, 0.00825355, 0.00482277, 7813, 73366, 592245
0.00890969, 0.00252664, 0.00638206, 0.00353612, 7425, 69120, 424227
0.00943426, 0.00297102, 0.00646242, 0.00349529, 7756, 72502, 423366
0.00882929, 0.00314606, 0.0056823, 0.0028957, 7149, 68026, 340218
0.00982828, 0.00294405, 0.00688319, 0.00362333, 7706, 71960, 410205
0.00740988, 0.00252299, 0.00488577, 0.00244132, 7065, 64956, 264573
0.0746703, 0.00417804, 0.0190511, 0.051566, 7821, 77186, 5.18445e+06
0.017514, 0.00280174, 0.0147116, 0.00931231, 7108, 70977, 1.03049e+06
0.0139555, 0.00298779, 0.0109666, 0.00652485, 7291, 71178, 777606
0.0166032, 0.0027447, 0.0138577, 0.00871588, 7290, 72589, 1.02102e+06
0.0206644, 0.00287176, 0.0177916, 0.0116005, 7059, 70950, 1.37735e+06
0.0180433, 0.00262738, 0.0154151, 0.0098675, 7118, 71169, 1.17342e+06
0.014558, 0.00282266, 0.0117345, 0.00729492, 7680, 75620, 797901
0.0129663, 0.0027407, 0.0102244, 0.00608729, 7600, 74308, 738000
0.0134899, 0.00435625, 0.00913286, 0.00487608, 7627, 73612, 523857
0.0110895, 0.0029821, 0.00810659, 0.00408154, 7843, 75140, 391386
0.01032, 0.00271484, 0.00760426, 0.00393561, 7682, 73590, 429270
0.0113662, 0.00279455, 0.00857073, 0.00462224, 7606, 73212, 506760
0.0110134, 0.00275839, 0.00825412, 0.00433772, 7302, 71190, 486588
0.011882, 0.0032825, 0.00859877, 0.00458632, 7491, 72936, 464325
0.0157218, 0.00394931, 0.0117714, 0.00623306, 7672, 73150, 447597
0.00945612, 0.00288243, 0.00657281, 0.00317532, 7803, 74794, 329517
0.00737461, 0.00283402, 0.00453975, 0.00200206, 7810, 73807, 223737
0.0548727, 0.00303088, 0.0189121, 0.0378824, 7426, 74093, 3.3595e+06
0.0111301, 0.00297232, 0.00815705, 0.0045882, 7443, 74798, 569121
0.0117882, 0.00272666, 0.00906048, 0.00532316, 7248, 72856, 640830
0.0146964, 0.00278903, 0.0119066, 0.0072437, 7193, 74094, 912906
0.0160492, 0.0032781, 0.012769, 0.00777997, 7560, 77173, 889167
0.0103625, 0.00261764, 0.00774408, 0.00432209, 7041, 69904, 522381
0.011953, 0.0027699, 0.00918225, 0.00494689, 7767, 75063, 564201
0.0105127, 0.00359688, 0.0069148, 0.0034716, 7719, 76268, 375273
0.00759483, 0.00274311, 0.00485074, 0.00218601, 7672, 75188, 248214
0.0066663, 0.00279538, 0.00386959, 0.00149692, 7099, 68774, 168879
0.00649392, 0.00279585, 0.00369724, 0.00134737, 7908, 74697, 154488
0.00678948, 0.00303463, 0.00375393, 0.00119236, 7687, 72698, 125706
0.00582435, 0.00264667, 0.0031766, 0.000981547, 7653, 70625, 100491
0.00584611, 0.0027161, 0.00312929, 0.000919382, 7812, 71967, 93972
0.00681155, 0.00305635, 0.00375421, 0.00104904, 7678, 70672, 85731
0.00591117, 0.00327251, 0.00263781, 0.000666887, 7726, 70378, 68388
0.00534393, 0.00270281, 0.00264032, 0.000676607, 7727, 72233, 66051
0.00509109, 0.00272005, 0.00236916, 0.000538421, 7139, 65123, 48585
0.00516393, 0.00309688, 0.0020661, 0.000442362, 7051, 64740, 39237
0.00492208, 0.00269863, 0.00222218, 0.00045417, 7141, 66413, 38868
0.00526505, 0.00267711, 0.00258675, 0.000477838, 7761, 70538, 37761
0.0521921, 0.00294356, 0.00641011, 0.0357378, 7673, 72745, 3.24142e+06
0.00832094, 0.00264548, 0.00567457, 0.0026316, 7643, 73452, 279087
0.00797992, 0.00327573, 0.00470313, 0.00204197, 7717, 72453, 231486
0.00768128, 0.00280828, 0.0048721, 0.00197808, 7745, 72463, 208116
0.0074528, 0.00306751, 0.00438446, 0.00161191, 7759, 73261, 177243
0.00598275, 0.0025524, 0.00342964, 0.00119811, 7218, 70059, 133947
0.00637983, 0.00286148, 0.00351729, 0.00120933, 7794, 73301, 126690
0.00598608, 0.00273701, 0.00324849, 0.00105163, 7870, 73579, 109716
0.00744557, 0.00381185, 0.0036327, 0.00103959, 7719, 73457, 97662
0.0072449, 0.00302213, 0.00422168, 0.00109902, 7079, 66373, 74046
0.00571791, 0.0029851, 0.00273189, 0.000774815, 7823, 73658, 79212
0.00701628, 0.0040096, 0.00300571, 0.000734457, 7628, 72789, 65928
0.00491555, 0.00255584, 0.00235858, 0.00060534, 7197, 68275, 58425
0.00589221, 0.0027439, 0.00314735, 0.000620987, 7804, 73658, 51168
0.00535684, 0.00309779, 0.0022583, 0.00053178, 7333, 69436, 48831
0.00640238, 0.00354246, 0.00285907, 0.000606594, 7726, 71900, 46248
0.00482929, 0.00252663, 0.00230139, 0.00044727, 7147, 67880, 37146
0.00507144, 0.00283628, 0.00223414, 0.000349783, 7674, 72766, 29028
0.00501698, 0.00279184, 0.00222389, 0.000378943, 7732, 72657, 32103
0.00494811, 0.00250754, 0.00243972, 0.000422779, 7061, 68300, 31242
0.00490359, 0.00260699, 0.0022959, 0.000449538, 7574, 72148, 38253
0.00507188, 0.00293506, 0.00213603, 0.000332075, 7115, 68515, 26199
0.0068728, 0.003624, 0.00324801, 0.000567508, 7820, 73094, 28044
0.00548326, 0.00335192, 0.00213062, 0.000315215, 7634, 72544, 23124
0.00499605, 0.00260159, 0.00239369, 0.000316142, 7258, 67884, 23985
0.0053889, 0.00289808, 0.00249, 0.000517294, 7780, 72141, 48831
0.00563836, 0.00288894, 0.00274817, 0.00054224, 7769, 71678, 45141
0.00501148, 0.00266848, 0.00234216, 0.000450781, 7786, 71328, 40344
0.00552455, 0.00258207, 0.00294183, 0.000389198, 7543, 69654, 22509
0.00509978, 0.00269595, 0.00240284, 0.000427498, 7754, 70700, 35670
0.00491768, 0.00283461, 0.00208225, 0.000236169, 7715, 68905, 16482
0.00549937, 0.00342308, 0.00207548, 0.000216444, 7789, 70385, 14022
0.00464075, 0.00272089, 0.00191902, 0.000194574, 7679, 68553, 12546
0.00443042, 0.00248775, 0.00194197, 0.000316814, 7351, 65498, 25830
0.00491027, 0.00269293, 0.00221631, 0.000372431, 7764, 68444, 32349
0.0726053, 0.00483383, 0.00849274, 0.0474348, 7731, 72194, 3.69049e+06
0.00802162, 0.00346513, 0.00455523, 0.00202413, 7522, 68699, 208977
0.00708696, 0.00305251, 0.00403343, 0.0018134, 7742, 68912, 194586
0.00665593, 0.00266242, 0.00399244, 0.0016186, 7754, 69979, 187698
0.00566298, 0.00248054, 0.00318148, 0.00125476, 7127, 63463, 140712
0.00753868, 0.00311216, 0.00442565, 0.00159246, 7230, 62662, 123369
0.0059669, 0.00240617, 0.00355999, 0.00135552, 7284, 64084, 143295
0.0705752, 0.0138293, 0.012494, 0.0388275, 7658, 69981, 4.50758e+06
0.00907373, 0.00253662, 0.00653632, 0.00352313, 7373, 65888, 439110
0.00890198, 0.00308201, 0.00581867, 0.00292491, 6977, 63048, 321891
0.0069322, 0.0023586, 0.00457283, 0.00223401, 7128, 62239, 277365
0.0111845, 0.00386255, 0.00732104, 0.00331328, 7361, 62756, 234315
