fsm, mapping, replan, sfc, mpc, df, total, 
1.906e-06, 0, 0, 0, 0.00026219, 1.0232e-05, 0.000274533, 
2.947e-06, 0, 0, 0, 0.000390231, 2.092e-06, 0.000395753, 
4.246e-06, 0, 0, 0, 0.00079251, 3.235e-06, 0.000800883, 
3.57e-06, 0, 0, 0, 0.000559605, 2.534e-06, 0.000566148, 
2.718e-06, 0, 0, 0, 0.000446352, 1.62e-06, 0.000450973, 
2.662e-06, 0, 0, 0, 0.000381722, 2.409e-06, 0.000387316, 
2.69e-06, 0, 0, 0, 0.000281677, 1.529e-06, 0.000286145, 
1.786e-06, 0, 0, 0, 0.000352157, 1.616e-06, 0.000355787, 
1.737e-06, 0, 0, 0, 0.000270278, 1.244e-06, 0.000273507, 
2.232e-06, 0.0162099, 0, 0, 0.000262597, 1.685e-06, 0.000266712, 
2.538e-06, 0, 0, 0, 0.000393973, 3.135e-06, 0.000400067, 
2.53e-06, 0, 0, 0, 0.000382927, 2.071e-06, 0.000387925, 
1.644e-06, 0, 0, 0, 0.000251205, 9.725e-06, 0.000262846, 
3.148e-06, 0, 0, 0, 0.000360765, 1.996e-06, 0.000366279, 
2.075e-06, 0, 0, 0, 0.000351504, 2.034e-06, 0.000355914, 
1.781e-06, 0, 0, 0, 0.00025306, 1.903e-06, 0.000256975, 
1.829e-06, 0.00428434, 0, 0, 0.000264027, 1.864e-06, 0.000267928, 
1.925e-06, 0, 0, 0, 0.000259394, 2.049e-06, 0.000263634, 
1.195e-06, 0, 0, 0, 0.000253731, 1.739e-06, 0.00025688, 
1.503e-06, 0, 0, 0, 0.0002524, 1.181e-06, 0.000255276, 
2.57e-06, 0, 0, 0, 0.000293116, 1.94e-06, 0.000297958, 
2.6e-06, 0, 0, 0, 0.000383689, 2.059e-06, 0.000388743, 
2.275e-06, 0, 0, 0, 0.000384464, 2.291e-06, 0.000389454, 
3.067e-06, 0, 0, 0, 0.000478443, 1.977e-06, 0.000483801, 
2.363e-06, 0, 0, 0, 0.000391575, 1.605e-06, 0.000395815, 
2.898e-06, 0, 0, 0, 0.000369412, 2.437e-06, 0.000375156, 
